id,timeSpentOnFitness,numberOfMealsPerDay,Predict Weight Change,changeInWeight (Real Weight Change),Do the fitness time and the number of meals affect the weight?,,,,,,,,,
R1,0,4,Increased,Increased,Yes,,,,,,,,,
R2,2,3,Increased,Decreased,No,,,,,,,,,
R3,0,3,Increased,Remain Constant,No,,,,,Increased,Decreased,Stay Constant,No Stay Constant,Total Pop
R4,1,3,Increased,Decreased,No,,,,Eat More Meals & Do Less Exercise,424,693,,,1117
R5,1,4,Increased,Remain Constant,No,,,,Eat Fewer Meals & Do More Exercise,3,7,,,10
R6,0,1,Increased,Decreased,No,,,,Remain Constant,,,18,37,55
R7,1,3,Increased,Increased,Yes,,,,,,,,,1182
R8,1,3,Increased,Increased,Yes,,,,,,,,,
R9,1,3,Increased,Increased,Yes,,,,,,,,,
R10,0.5,3,Increased,Decreased,No,,,,,,,,,
R11,1,4,Increased,Remain Constant,No,,,,,,,,,
R12,1,2,Increased,Increased,Yes,,,,,,,,,
R13,0,3,Increased,Increased,Yes,,,,,,,,,
R14,0,2,Increased,Increased,Yes,,,,,,,,,
R15,0,3,Increased,Remain Constant,No,,,,,,,,,
R16,1,3,Increased,Increased,Yes,,,,,,,,,
R17,0,3,Increased,Increased,Yes,,,,,,,,,
R18,1,3,Increased,Remain Constant,No,,,,,,,,,
R19,0,2,Increased,Remain Constant,No,,,,,,,,,
R20,1,3,Increased,Increased,Yes,,,,,,,,,
R21,0,2,Increased,Decreased,No,,,,,,,,,
R22,1,3,Increased,Remain Constant,No,,,,,,,,,
R23,0,4,Increased,Decreased,No,,,,,,,,,
R24,1,3,Increased,Decreased,No,,,,,,,,,
R25,2,3,Increased,Decreased,No,,,,,,,,,
R26,0,2,Increased,Increased,Yes,,,,,,,,,
R27,0,2,Increased,Increased,Yes,,,,,,,,,
R28,0,2,Increased,Remain Constant,No,,,,,,,,,
R29,1,3,Increased,Remain Constant,No,,,,,,,,,
R30,1,4,Increased,Remain Constant,No,,,,,,,,,
R31,1,2,Increased,Decreased,No,,,,,,,,,
R32,1,2,Increased,Decreased,No,,,,,,,,,
R33,2,3,Increased,Remain Constant,No,,,,,,,,,
R34,0,3,Increased,Decreased,No,,,,,,,,,
R35,1,4,Increased,Increased,Yes,,,,,,,,,
R36,1,3,Increased,Remain Constant,No,,,,,,,,,
R37,1,3,Increased,Decreased,No,,,,,,,,,
R38,0,3,Increased,Increased,Yes,,,,,,,,,
R39,0.5,3,Increased,Increased,Yes,,,,,,,,,
R40,0,3,Increased,Increased,Yes,,,,,,,,,
R41,2,4,Increased,Increased,Yes,,,,,,,,,
R42,0,4,Increased,Remain Constant,No,,,,,,,,,
R43,1,4,Increased,Remain Constant,No,,,,,,,,,
R44,1,2,Increased,Increased,Yes,,,,,,,,,
R45,3,4,Increased,Remain Constant,No,,,,,,,,,
R46,0,4,Increased,Increased,Yes,,,,,,,,,
R47,2,6,Increased,Decreased,No,,,,,,,,,
R48,0,3,Increased,Decreased,No,,,,,,,,,
R49,2,4,Increased,Increased,Yes,,,,,,,,,
R50,0,3,Increased,Remain Constant,No,,,,,,,,,
R51,0,3,Increased,Remain Constant,No,,,,,,,,,
R52,1,3,Increased,Remain Constant,No,,,,,,,,,
R53,0,3,Increased,Increased,Yes,,,,,,,,,
R54,2,4,Increased,Remain Constant,No,,,,,,,,,
R55,1,4,Increased,Remain Constant,No,,,,,,,,,
R56,0,3,Increased,Increased,Yes,,,,,,,,,
R57,2,4,Increased,Increased,Yes,,,,,,,,,
R58,0,3,Increased,Increased,Yes,,,,,,,,,
R59,1,3,Increased,Increased,Yes,,,,,,,,,
R60,0,3,Increased,Remain Constant,No,,,,,,,,,
R61,0,2,Increased,Increased,Yes,,,,,,,,,
R62,1,4,Increased,Increased,Yes,,,,,,,,,
R63,1,1,Remain Constant,Remain Constant,Yes,,,,,,,,,
R64,1,3,Increased,Increased,Yes,,,,,,,,,
R65,1,4,Increased,Decreased,No,,,,,,,,,
R66,2,3,Increased,Increased,Yes,,,,,,,,,
R67,2,3,Increased,Remain Constant,No,,,,,,,,,
R68,1,4,Increased,Remain Constant,No,,,,,,,,,
R69,2,2,Remain Constant,Decreased,No,,,,,,,,,
R70,1,4,Increased,Decreased,No,,,,,,,,,
R71,1,4,Increased,Increased,Yes,,,,,,,,,
R72,0,1,Increased,Increased,Yes,,,,,,,,,
R73,0,2,Increased,Remain Constant,No,,,,,,,,,
R74,1,3,Increased,Remain Constant,No,,,,,,,,,
R75,2,4,Increased,Remain Constant,No,,,,,,,,,
R76,0,2,Increased,Increased,Yes,,,,,,,,,
R77,1,3,Increased,Decreased,No,,,,,,,,,
R78,0,3,Increased,Increased,Yes,,,,,,,,,
R79,1,3,Increased,Increased,Yes,,,,,,,,,
R80,0,4,Increased,Increased,Yes,,,,,,,,,
R81,0,2,Increased,Increased,Yes,,,,,,,,,
R82,1,3,Increased,Remain Constant,No,,,,,,,,,
R83,0.5,2,Increased,Increased,Yes,,,,,,,,,
R84,1,2,Increased,Increased,Yes,,,,,,,,,
R85,0,3,Increased,Decreased,No,,,,,,,,,
R86,1,4,Increased,Decreased,No,,,,,,,,,
R87,1,3,Increased,Increased,Yes,,,,,,,,,
R88,1,3,Increased,Decreased,No,,,,,,,,,
R89,1,4,Increased,Remain Constant,No,,,,,,,,,
R90,1,3,Increased,Increased,Yes,,,,,,,,,
R91,1,3,Increased,Remain Constant,No,,,,,,,,,
R92,1,3,Increased,Increased,Yes,,,,,,,,,
R93,0,3,Increased,Increased,Yes,,,,,,,,,
R94,2,3,Increased,Decreased,No,,,,,,,,,
R95,1,3,Increased,Increased,Yes,,,,,,,,,
R96,1,2,Increased,Remain Constant,No,,,,,,,,,
R97,0,3,Increased,Remain Constant,No,,,,,,,,,
R98,0,3,Increased,Increased,Yes,,,,,,,,,
R99,2,4,Increased,Increased,Yes,,,,,,,,,
R100,1,3,Increased,Increased,Yes,,,,,,,,,
R101,2,3,Increased,Remain Constant,No,,,,,,,,,
R102,0,2,Increased,Remain Constant,No,,,,,,,,,
R103,1,4,Increased,Decreased,No,,,,,,,,,
R104,1,2,Increased,Remain Constant,No,,,,,,,,,
R105,2,5,Increased,Increased,Yes,,,,,,,,,
R106,1,3,Increased,Increased,Yes,,,,,,,,,
R107,1,2,Increased,Remain Constant,No,,,,,,,,,
R108,1,3,Increased,Increased,Yes,,,,,,,,,
R109,1,3,Increased,Decreased,No,,,,,,,,,
R110,0,3,Increased,Remain Constant,No,,,,,,,,,
R111,2,2,Remain Constant,Decreased,No,,,,,,,,,
R112,0,2,Increased,Increased,Yes,,,,,,,,,
R113,1,4,Increased,Remain Constant,No,,,,,,,,,
R114,1,5,Increased,Increased,Yes,,,,,,,,,
R115,1,3,Increased,Remain Constant,No,,,,,,,,,
R116,0,3,Increased,Remain Constant,No,,,,,,,,,
R117,1,3,Increased,Increased,Yes,,,,,,,,,
R118,1,3,Increased,Remain Constant,No,,,,,,,,,
R119,2,3,Increased,Increased,Yes,,,,,,,,,
R120,1,3,Increased,Increased,Yes,,,,,,,,,
R121,1,4,Increased,Remain Constant,No,,,,,,,,,
R122,1,3,Increased,Remain Constant,No,,,,,,,,,
R123,1,3,Increased,Remain Constant,No,,,,,,,,,
R124,0,3,Increased,Increased,Yes,,,,,,,,,
R125,0,2,Increased,Increased,Yes,,,,,,,,,
R126,1,3,Increased,Increased,Yes,,,,,,,,,
R127,0.5,3,Increased,Remain Constant,No,,,,,,,,,
R128,1,4,Increased,Decreased,No,,,,,,,,,
R129,1,4,Increased,Increased,Yes,,,,,,,,,
R130,3,1,Decreased,Decreased,Yes,,,,,,,,,
R131,0,2,Increased,Decreased,No,,,,,,,,,
R132,1,2,Increased,Remain Constant,No,,,,,,,,,
R133,1,2,Increased,Increased,Yes,,,,,,,,,
R134,0,3,Increased,Decreased,No,,,,,,,,,
R135,1,4,Increased,Increased,Yes,,,,,,,,,
R136,1,5,Increased,Increased,Yes,,,,,,,,,
R137,1,3,Increased,Remain Constant,No,,,,,,,,,
R138,0.5,3,Increased,Remain Constant,No,,,,,,,,,
R139,1,3,Increased,Remain Constant,No,,,,,,,,,
R140,1,3,Increased,Decreased,No,,,,,,,,,
R141,0,2,Increased,Remain Constant,No,,,,,,,,,
R142,0,2,Increased,Decreased,No,,,,,,,,,
R143,0,2,Increased,Increased,Yes,,,,,,,,,
R144,1,2,Increased,Increased,Yes,,,,,,,,,
R145,2,2,Remain Constant,Increased,No,,,,,,,,,
R146,1,3,Increased,Remain Constant,No,,,,,,,,,
R147,1,3,Increased,Increased,Yes,,,,,,,,,
R148,1,3,Increased,Remain Constant,No,,,,,,,,,
R149,0,2,Increased,Increased,Yes,,,,,,,,,
R150,1,3,Increased,Remain Constant,No,,,,,,,,,
R151,1,3,Increased,Remain Constant,No,,,,,,,,,
R152,1,3,Increased,Increased,Yes,,,,,,,,,
R153,2,4,Increased,Remain Constant,No,,,,,,,,,
R154,1,4,Increased,Increased,Yes,,,,,,,,,
R155,0,1,Increased,Decreased,No,,,,,,,,,
R156,2,4,Increased,Remain Constant,No,,,,,,,,,
R157,0,2,Increased,Increased,Yes,,,,,,,,,
R158,0,2,Increased,Decreased,No,,,,,,,,,
R159,2,3,Increased,Remain Constant,No,,,,,,,,,
R160,0,3,Increased,Increased,Yes,,,,,,,,,
R161,0,3,Increased,Increased,Yes,,,,,,,,,
R162,0,3,Increased,Increased,Yes,,,,,,,,,
R163,0,4,Increased,Increased,Yes,,,,,,,,,
R164,1,3,Increased,Remain Constant,No,,,,,,,,,
R165,1,2,Increased,Increased,Yes,,,,,,,,,
R166,0,2,Increased,Increased,Yes,,,,,,,,,
R167,0.5,3,Increased,Increased,Yes,,,,,,,,,
R168,0,7,Increased,Increased,Yes,,,,,,,,,
R169,2,3,Increased,Increased,Yes,,,,,,,,,
R170,3,4,Increased,Increased,Yes,,,,,,,,,
R171,2,3,Increased,Remain Constant,No,,,,,,,,,
R172,0,3,Increased,Decreased,No,,,,,,,,,
R173,2,3,Increased,Increased,Yes,,,,,,,,,
R174,1,3,Increased,Remain Constant,No,,,,,,,,,
R175,0,3,Increased,Decreased,No,,,,,,,,,
R176,1,2,Increased,Decreased,No,,,,,,,,,
R177,1,3,Increased,Remain Constant,No,,,,,,,,,
R178,1,5,Increased,Decreased,No,,,,,,,,,
R179,1,4,Increased,Remain Constant,No,,,,,,,,,
R180,2,4,Increased,Increased,Yes,,,,,,,,,
R181,1,3,Increased,Remain Constant,No,,,,,,,,,
R182,3,3,Remain Constant,Remain Constant,Yes,,,,,,,,,
R183,1,3,Increased,Increased,Yes,,,,,,,,,
R184,0,3,Increased,Remain Constant,No,,,,,,,,,
R185,1,2,Increased,Decreased,No,,,,,,,,,
R186,0,3,Increased,Remain Constant,No,,,,,,,,,
R187,0.5,3,Increased,Remain Constant,No,,,,,,,,,
R188,0,3,Increased,Increased,Yes,,,,,,,,,
R189,0.25,3,Increased,Increased,Yes,,,,,,,,,
R190,1,2,Increased,Decreased,No,,,,,,,,,
R191,0,3,Increased,Remain Constant,No,,,,,,,,,
R192,0.5,3,Increased,Remain Constant,No,,,,,,,,,
R193,3,3,Remain Constant,Decreased,No,,,,,,,,,
R194,1,3,Increased,Remain Constant,No,,,,,,,,,
R195,5,3,Decreased,Remain Constant,No,,,,,,,,,
R196,0,2,Increased,Remain Constant,No,,,,,,,,,
R197,1,3,Increased,Remain Constant,No,,,,,,,,,
R198,1,3,Increased,Remain Constant,No,,,,,,,,,
R199,0,4,Increased,Increased,Yes,,,,,,,,,
R200,1,2,Increased,Increased,Yes,,,,,,,,,
R201,1,2,Increased,Remain Constant,No,,,,,,,,,
R202,1,2,Increased,Remain Constant,No,,,,,,,,,
R203,0,3,Increased,Remain Constant,No,,,,,,,,,
R204,2,3,Increased,Remain Constant,No,,,,,,,,,
R205,2,4,Increased,Increased,Yes,,,,,,,,,
R206,1,2,Increased,Remain Constant,No,,,,,,,,,
R207,1,3,Increased,Remain Constant,No,,,,,,,,,
R208,0,2,Increased,Remain Constant,No,,,,,,,,,
R209,1,2,Increased,Increased,Yes,,,,,,,,,
R210,0,2,Increased,Increased,Yes,,,,,,,,,
R211,0,3,Increased,Increased,Yes,,,,,,,,,
R212,1,3,Increased,Remain Constant,No,,,,,,,,,
R214,2,4,Increased,Increased,Yes,,,,,,,,,
R215,0.5,2,Increased,Remain Constant,No,,,,,,,,,
R216,0,2,Increased,Remain Constant,No,,,,,,,,,
R217,1,4,Increased,Remain Constant,No,,,,,,,,,
R218,0,3,Increased,Increased,Yes,,,,,,,,,
R219,0,3,Increased,Remain Constant,No,,,,,,,,,
R220,0.5,2,Increased,Remain Constant,No,,,,,,,,,
R221,0,4,Increased,Increased,Yes,,,,,,,,,
R222,1,4,Increased,Increased,Yes,,,,,,,,,
R223,0,3,Increased,Remain Constant,No,,,,,,,,,
R224,2,3,Increased,Decreased,No,,,,,,,,,
R225,0,2,Increased,Increased,Yes,,,,,,,,,
R226,0,3,Increased,Increased,Yes,,,,,,,,,
R227,1,3,Increased,Decreased,No,,,,,,,,,
R228,1,4,Increased,Remain Constant,No,,,,,,,,,
R229,0,4,Increased,Increased,Yes,,,,,,,,,
R230,2,3,Increased,Remain Constant,No,,,,,,,,,
R231,1,4,Increased,Remain Constant,No,,,,,,,,,
