id,timeSpentOnOnlineClass,timeSpentOnSelfStudy,timeSpentOnOnlineClass&SelfStudy,,timeSpentOnSocialMedia,timeSpentOnTv,timeSpentOnSocialMedia&Tv,,,,The Difference Between The Time Spent On Study And Leisure Activities
R1,2,4,6,,3,1,4,,,,2
R2,0,0,0,,3,0,3,,,,-3
R3,7,3,10,,2,0,2,,,,8
R4,3,2,5,,5,0,5,,,,0
R5,3,3,6,,3,1,4,,,,2
R6,0,6,6,,1,0,1,,,,5
R7,2,2,4,,4,0,4,,,,0
R8,2,1,3,,5,0,5,,,,-2
R9,3,4,7,,2,1,3,,,,4
R10,0,1,1,,5,3,8,,,,-7
R11,3,3,6,,3,1,4,,,,2
R12,1,0,1,,3,1,4,,,,-3
R13,3,0,3,,3,0,3,,,,0
R14,1,2,3,,0,0.5,0.5,,,,2.5
R15,5,1,6,,3,0,3,,,,3
R16,3,3,6,,2,1,3,,,,3
R17,0,0,0,,2,1,3,,,,-3
R18,1,2,3,,1,0,1,,,,2
R19,0,4,4,,7,0,7,,,,-3
R20,5,2,7,,4,0,4,,,,3
R21,4,5,9,,2,1,3,,,,6
R22,5,2,7,,5,2,7,,,,0
R23,4,1,5,,6,1,7,,,,-2
R24,4,2,6,,1,0,1,,,,5
R25,3,4,7,,2,1,3,,,,4
R26,5,2,7,,5,3,8,,,,-1
R27,4,5,9,,3,0,3,,,,6
R28,3,6,9,,2,0,2,,,,7
R29,8,4,12,,2,0.5,2.5,,,,9.5
R30,4,6,10,,3,0,3,,,,7
R31,4,5,9,,2,1,3,,,,6
R32,4,18,22,,2,0,2,,,,20
R33,0,5,5,,2,0,2,,,,3
R34,5,1,6,,2,0.5,2.5,,,,3.5
R35,0,6,6,,5,0,5,,,,1
R36,6,2,8,,3,1,4,,,,4
R37,4,1,5,,1.5,0,1.5,,,,3.5
R38,4,2,6,,2,0,2,,,,4
R39,1,2,3,,2,2,4,,,,-1
R40,0,8,8,,0,0,0,,,,8
R41,4,4,8,,4,0,4,,,,4
R42,0,0,0,,8,1,9,,,,-9
R43,7,2,9,,2,2,4,,,,5
R44,5,3,8,,1,0,1,,,,7
R45,2,2,4,,1,0,1,,,,3
R46,3,2,5,,1,0,1,,,,4
R47,2,6,8,,1,3,4,,,,4
R48,2,3,5,,2,0,2,,,,3
R49,3,4,7,,2,0,2,,,,5
R50,4,2,6,,4,0,4,,,,2
R51,0,1,1,,2,2,4,,,,-3
R52,5,6,11,,2,0,2,,,,9
R53,3,17,20,,1,0,1,,,,19
R54,0,2,2,,1,0.5,1.5,,,,0.5
R55,4,4,8,,2,2,4,,,,4
R56,4,2,6,,1,0,1,,,,5
R57,2,2,4,,1,0,1,,,,3
R58,1,8,9,,5,2,7,,,,2
R59,5,1,6,,1,0,1,,,,5
R60,0,5,5,,1,1,2,,,,3
R61,6,6,12,,1,0,1,,,,11
R62,3,6,9,,1,2,3,,,,6
R63,0,2,2,,5,0,5,,,,-3
R64,2,0,2,,2,0,2,,,,0
R65,2,1,3,,5,1,6,,,,-3
R66,4,4,8,,2,1,3,,,,5
R67,0,0,0,,4,0.5,4.5,,,,-4.5
R68,3,1,4,,3,0.5,3.5,,,,0.5
R69,1.5,3,4.5,,1,1,2,,,,2.5
R70,2,2,4,,5,0,5,,,,-1
R71,2,3,5,,2,1,3,,,,2
R72,6,4,10,,2,0,2,,,,8
R73,2,2,4,,3,2,5,,,,-1
R74,1,0.5,1.5,,5,2,7,,,,-5.5
R75,3,2,5,,8,0,8,,,,-3
R76,3,5,8,,4,0,4,,,,4
R77,0,1,1,,2,0,2,,,,-1
R78,3,3,6,,10,4.5,14.5,,,,-8.5
R79,3,0,3,,5,1,6,,,,-3
R80,1,4,5,,2,0,2,,,,3
R81,5,5,10,,7,1,8,,,,2
R82,3,2,5,,1,0,1,,,,4
R83,2,2,4,,3,1,4,,,,0
R84,0,1,1,,2,2,4,,,,-3
R85,1,8,9,,1,0,1,,,,8
R86,2,2,4,,5,0,5,,,,-1
R87,5,3,8,,1.5,0,1.5,,,,6.5
R88,4,3,7,,1,0,1,,,,6
R89,3,4,7,,1,0,1,,,,6
R90,4,3,7,,3,2,5,,,,2
R91,4,3,7,,1,0,1,,,,6
R92,0,4,4,,1,0,1,,,,3
R93,4,0,4,,2,1.5,3.5,,,,0.5
R94,4,2,6,,6,0,6,,,,0
R95,2,3,5,,4,1,5,,,,0
R96,5,3,8,,2,0,2,,,,6
R97,3,1,4,,4,0,4,,,,0
R98,2,0,2,,4,2,6,,,,-4
R99,1,3,4,,1,2,3,,,,1
R100,1,2,3,,1,0,1,,,,2
R101,6,2,8,,2,1,3,,,,5
R102,3,5,8,,7,1,8,,,,0
R103,4,4,8,,1,0,1,,,,7
R104,3,3,6,,3,1,4,,,,2
R105,2,7,9,,0.5,0,0.5,,,,8.5
R106,4,6,10,,0.3,0,0.3,,,,9.7
R107,2,1.5,3.5,,2,0,2,,,,1.5
R108,1,2,3,,1,0,1,,,,2
R109,2,3,5,,1,1,2,,,,3
R110,3,3,6,,1,4,5,,,,1
R111,0,2,2,,0.15,0.3,0.45,,,,1.55
R112,3,3,6,,2,0,2,,,,4
R113,1,4,5,,1,0,1,,,,4
R114,5,4,9,,4,1,5,,,,4
R115,2,3,5,,2,0,2,,,,3
R116,3,6,9,,3,1,4,,,,5
R117,4,8,12,,2,2,4,,,,8
R118,3,5,8,,0.3,1,1.3,,,,6.7
R119,4,2,6,,2,1,3,,,,3
R120,2,6,8,,1,0,1,,,,7
R121,2.5,2,4.5,,1,0,1,,,,3.5
R122,6,5,11,,1,0,1,,,,10
R123,4,4,8,,1,0,1,,,,7
R124,5,3,8,,7,0,7,,,,1
R125,1,2,3,,1,0,1,,,,2
R126,5,4,9,,2,1,3,,,,6
R127,2,3,5,,1,0.5,1.5,,,,3.5
R128,2,4,6,,2,0,2,,,,4
R129,1,3,4,,4,1.5,5.5,,,,-1.5
R130,0,1,1,,5,1,6,,,,-5
R131,3,3,6,,2,2,4,,,,2
R132,6,4,10,,1,1,2,,,,8
R133,2,2,4,,2,2,4,,,,0
R134,2,4,6,,4,2,6,,,,0
R135,5,1,6,,1,0,1,,,,5
R136,0.1,2.5,2.6,,0.3,0,0.3,,,,2.3
R137,3,5,8,,2,0,2,,,,6
R138,4,2,6,,1,1,2,,,,4
R139,1,10,11,,1,0,1,,,,10
R140,3,2,5,,1,0,1,,,,4
R141,3,5,8,,2,1,3,,,,5
R142,3,3,6,,2,2,4,,,,2
R143,1,1,2,,0,0,0,,,,2
R144,2,6,8,,1,1,2,,,,6
R145,2,2,4,,2,3,5,,,,-1
R146,4,2,6,,2,1,3,,,,3
R147,6,1,7,,1,0,1,,,,6
R148,3,2,5,,2,2,4,,,,1
R149,6,3,9,,2,0.5,2.5,,,,6.5
R150,1,1,2,,1,0,1,,,,1
R151,2,2,4,,2,0,2,,,,2
R152,4,4,8,,2,0,2,,,,6
R153,4,7,11,,1,1,2,,,,9
R154,5,3,8,,2,3,5,,,,3
R155,1,3,4,,1,1,2,,,,2
R156,0.5,7,7.5,,0.1,0,0.1,,,,7.4
R157,3,1,4,,2,0,2,,,,2
R158,5,1,6,,1,0,1,,,,5
R159,4,6,10,,1,1,2,,,,8
R160,3,2,5,,2,0,2,,,,3
R161,4,2,6,,2,4,6,,,,0
R162,6,3,9,,4,2,6,,,,3
R163,0,1,1,,4,0,4,,,,-3
R164,4,3,7,,1,1,2,,,,5
R165,1,4,5,,2,0,2,,,,3
R166,3,0,3,,4,0,4,,,,-1
R167,4,4,8,,2,0,2,,,,6
R168,0,1,1,,10,0,10,,,,-9
R169,0,3,3,,1,0,1,,,,2
R170,4,2,6,,1,2,3,,,,3
R171,0,3,3,,2,1,3,,,,0
R172,0,1,1,,0.5,1,1.5,,,,-0.5
R173,4,3,7,,1,1,2,,,,5
R174,1,3,4,,1,0,1,,,,3
R175,5,4,9,,2,4,6,,,,3
R176,0,4,4,,2,0,2,,,,2
R177,3,3,6,,1,2,3,,,,3
R178,0,3,3,,0,2,2,,,,1
R179,6,2,8,,4,0,4,,,,4
R180,1,1,2,,2,1,3,,,,-1
R181,1,2,3,,3,0,3,,,,0
R182,3,0.5,3.5,,2,0,2,,,,1.5
R183,2,2,4,,2,2,4,,,,0
R184,1,7,8,,1,0,1,,,,7
R185,3,1.5,4.5,,2,1.5,3.5,,,,1
R186,4,1,5,,1.5,5,6.5,,,,-1.5
R187,1,4,5,,1,0,1,,,,4
R188,2,5,7,,3,1,4,,,,3
