id,moreConnectionWithFamilyCloseFriendsOrRelatives,healthIssueDuringLockdown,,Does The Connection With Others Affect The Health Issue?,,,,,,
R1,TRUE,FALSE,,No,,,,,,
R2,FALSE,FALSE,,Yes,,,,,,
R3,TRUE,FALSE,,No,,,,Yes,No,Total Pop
R4,FALSE,FALSE,,Yes,,,,388,794,1182
R5,FALSE,FALSE,,Yes,,,,,,
R6,TRUE,TRUE,,Yes,,,,,,
R7,TRUE,FALSE,,No,,,,,,
R8,TRUE,TRUE,,Yes,,,,,,
R9,FALSE,FALSE,,Yes,,,,,,
R10,FALSE,TRUE,,No,,,,,,
R11,FALSE,FALSE,,Yes,,,,,,
R12,TRUE,TRUE,,Yes,,,,,,
R13,FALSE,TRUE,,No,,,,,,
R14,TRUE,FALSE,,No,,,,,,
R15,FALSE,FALSE,,Yes,,,,,,
R16,TRUE,FALSE,,No,,,,,,
R17,TRUE,FALSE,,No,,,,,,
R18,FALSE,FALSE,,Yes,,,,,,
R19,FALSE,FALSE,,Yes,,,,,,
R20,TRUE,FALSE,,No,,,,,,
R21,TRUE,FALSE,,No,,,,,,
R22,FALSE,FALSE,,Yes,,,,,,
R23,TRUE,FALSE,,No,,,,,,
R24,TRUE,FALSE,,No,,,,,,
R25,FALSE,FALSE,,Yes,,,,,,
R26,TRUE,FALSE,,No,,,,,,
R27,TRUE,TRUE,,Yes,,,,,,
R28,FALSE,FALSE,,Yes,,,,,,
R29,TRUE,FALSE,,No,,,,,,
R30,FALSE,FALSE,,Yes,,,,,,
R31,TRUE,TRUE,,Yes,,,,,,
R32,TRUE,FALSE,,No,,,,,,
R33,FALSE,FALSE,,Yes,,,,,,
R34,TRUE,TRUE,,Yes,,,,,,
R35,FALSE,FALSE,,Yes,,,,,,
R36,TRUE,FALSE,,No,,,,,,
R37,TRUE,FALSE,,No,,,,,,
R38,TRUE,FALSE,,No,,,,,,
R39,TRUE,FALSE,,No,,,,,,
R40,TRUE,FALSE,,No,,,,,,
R41,TRUE,FALSE,,No,,,,,,
R42,FALSE,FALSE,,Yes,,,,,,
R43,FALSE,TRUE,,No,,,,,,
R44,FALSE,FALSE,,Yes,,,,,,
R45,FALSE,FALSE,,Yes,,,,,,
R46,TRUE,FALSE,,No,,,,,,
R47,FALSE,FALSE,,Yes,,,,,,
R48,FALSE,TRUE,,No,,,,,,
R49,TRUE,FALSE,,No,,,,,,
R50,TRUE,FALSE,,No,,,,,,
R51,TRUE,TRUE,,Yes,,,,,,
R52,TRUE,FALSE,,No,,,,,,
R53,FALSE,FALSE,,Yes,,,,,,
R54,TRUE,FALSE,,No,,,,,,
R55,TRUE,FALSE,,No,,,,,,
R56,TRUE,TRUE,,Yes,,,,,,
R57,TRUE,FALSE,,No,,,,,,
R58,TRUE,FALSE,,No,,,,,,
R59,TRUE,TRUE,,Yes,,,,,,
R60,FALSE,FALSE,,Yes,,,,,,
R61,FALSE,FALSE,,Yes,,,,,,
R62,TRUE,FALSE,,No,,,,,,
R63,TRUE,FALSE,,No,,,,,,
R64,TRUE,FALSE,,No,,,,,,
R65,TRUE,FALSE,,No,,,,,,
R66,TRUE,FALSE,,No,,,,,,
R67,TRUE,FALSE,,No,,,,,,
R68,TRUE,FALSE,,No,,,,,,
R69,TRUE,TRUE,,Yes,,,,,,
R70,TRUE,FALSE,,No,,,,,,
R71,FALSE,FALSE,,Yes,,,,,,
R72,FALSE,FALSE,,Yes,,,,,,
R73,FALSE,FALSE,,Yes,,,,,,
R74,TRUE,FALSE,,No,,,,,,
R75,TRUE,FALSE,,No,,,,,,
R76,FALSE,TRUE,,No,,,,,,
R77,TRUE,FALSE,,No,,,,,,
R78,FALSE,FALSE,,Yes,,,,,,
R79,TRUE,FALSE,,No,,,,,,
R80,TRUE,FALSE,,No,,,,,,
R81,TRUE,TRUE,,Yes,,,,,,
R82,FALSE,FALSE,,Yes,,,,,,
R83,TRUE,FALSE,,No,,,,,,
R84,TRUE,FALSE,,No,,,,,,
R85,TRUE,FALSE,,No,,,,,,
R86,TRUE,FALSE,,No,,,,,,
R87,TRUE,TRUE,,Yes,,,,,,
R88,FALSE,FALSE,,Yes,,,,,,
R89,FALSE,TRUE,,No,,,,,,
R90,TRUE,FALSE,,No,,,,,,
R91,FALSE,TRUE,,No,,,,,,
R92,TRUE,FALSE,,No,,,,,,
R93,FALSE,TRUE,,No,,,,,,
R94,TRUE,FALSE,,No,,,,,,
R95,TRUE,FALSE,,No,,,,,,
R96,TRUE,FALSE,,No,,,,,,
R97,TRUE,FALSE,,No,,,,,,
R98,TRUE,FALSE,,No,,,,,,
R99,TRUE,TRUE,,Yes,,,,,,
R100,FALSE,FALSE,,Yes,,,,,,
R101,TRUE,FALSE,,No,,,,,,
R102,TRUE,FALSE,,No,,,,,,
R103,FALSE,TRUE,,No,,,,,,
R104,FALSE,FALSE,,Yes,,,,,,
R105,TRUE,FALSE,,No,,,,,,
R106,FALSE,FALSE,,Yes,,,,,,
R107,FALSE,FALSE,,Yes,,,,,,
R108,FALSE,FALSE,,Yes,,,,,,
R109,TRUE,FALSE,,No,,,,,,
R110,FALSE,FALSE,,Yes,,,,,,
R111,TRUE,FALSE,,No,,,,,,
R112,TRUE,TRUE,,Yes,,,,,,
R113,TRUE,FALSE,,No,,,,,,
R114,FALSE,FALSE,,Yes,,,,,,
R115,TRUE,FALSE,,No,,,,,,
R116,FALSE,FALSE,,Yes,,,,,,
R117,TRUE,FALSE,,No,,,,,,
R118,TRUE,FALSE,,No,,,,,,
R119,TRUE,FALSE,,No,,,,,,
R120,TRUE,FALSE,,No,,,,,,
